Tweetidnumber,numimagesboth,tweetertype,tweeterteases,mention,numimgfem,numimgneither,numimgmuscular,numimgskinny,numimgbutt,numimgthigh,numimgarm,numimgneck,numimgtorso,numimgwaist,numimgbody,numimghealthyfood,imgfocuselse,imgfocusbody,imgfocusfood,webtopicelse,webtopicpa,webtopichealtyeat,webtopicdiet,webbroken,web,imagevid,medtype,hashtagonly,english,relevant,promotional,mentionmeds,mentioneatless,mentioneathealthy,mentionexercise,mentionstrength,mentionloseweight,mentionbinge,mentionvomit,mentionwantbody,mentionnone,mentiondisorder,noimage,webtopicmeds,numimgcandy,numimgcombo,numimgmale,numimgcanttell,name1,RT,likes,replies,Followed,Followers,Tweets,Favorites,thinspo,fitspo,thinfit,binumimagesboth,binumimgfem,binumimgarm,binumimgneither,binumimgmuscular,binumimgskinny,binumimgbutt,binumimgthigh,binumimgneck,binumimgtorso,binumimgwaist,binumimgbody,binumimghealthyfood,binumimgcandy,binumimgcombo,binumimgmale,binumimgcanttell
59080,NA,person representing personal views,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web page link does not work,No,No,NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,78,1,2,0,2817,2780,44803,0,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48695,NA,unable to tell,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,Yes,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,78,1,0,0,2817,2780,44803,0,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49746,NA,unable to tell,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,102,1,2,0,207,197,16098,938,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59328,0,person representing personal views,No,0,1,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,105,1,2,0,375,396,2984,88,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
1644,0,organization or person representing an organization,No,1,1,1,0,0,0,0,0,1,0,0,0,NA,No,A body or parts of a body,NA,No,No,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,Eating less food/fewer calories,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,109,1,0,0,4337,1575,18219,385,0,1,fitspo,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,NA,NA,NA,No,No
61029,NA,organization or person representing an organization,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,Food,No,No,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,Eating less food/fewer calories,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,0,0,NA,NA,109,1,1,0,4337,1575,18219,385,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,NA,NA
19453,0,person representing personal views,No,0,1,0,0,1,0,0,0,0,0,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,137,1,4,0,111,348,1618,4417,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,No,No,NA,NA,NA,No,No
3259,NA,person representing personal views,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,140,1,3,0,7268,13289,14714,4201,1,0,thinspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61423,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,1,2,0,59,1047,2429,507,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47249,0,person representing personal views,Neutral and/or unable to tell,0,2,2,0,0,0,0,0,0,0,0,2,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,NA,Image(s) or video(s),NA,No,No,Yes,No,NA,NA,NA,NA,NA,Losing weight or wanting to be thinner,NA,NA,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",NA,NA,NA,NA,NA,NA,0,0,171,1,1,0,533,242,5796,4876,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
